sample_id,catalog_content,image_link,price
1000,"Title: Cadbury Dairy Milk Silk Chocolate Bar, 150g (Pack of 3) | Description: Delicious smooth chocolate pack of 3 bars 150g each | Brand: Brand_0",https://m.media-amazon.com/images/I/sample_0.jpg,485.95
1001,Title: Apple iPhone 15 Pro Max 256GB Natural Titanium | Description: Flagship smartphone with A17 Pro chip and luxury titanium design | Brand: Brand_1,https://m.media-amazon.com/images/I/sample_1.jpg,129898.4
1002,Title: Boat Rockerz 450 Bluetooth Wireless On Ear Headphones | Description: Wireless headphones with 40mm dynamic drivers and 15 hour battery | Brand: Brand_2,https://m.media-amazon.com/images/I/sample_2.jpg,1191.15
1003,"Title: Ariel Matic Front Load Detergent Powder, 4 kg Pack | Description: Stain removal washing powder 4 kg heavy duty bag | Brand: Brand_3",https://m.media-amazon.com/images/I/sample_3.jpg,1014.42
1004,Title: Wildcraft Genuine Leather Men Bifold Wallet | Description: Authentic premium leather wallet with 6 card slots | Brand: Brand_4,https://m.media-amazon.com/images/I/sample_4.jpg,869.26
1005,Title: Pampers Baby Dry Diapers Large Size (Pack of 64) | Description: Comfortable diapers set of 64 pcs count with wetness indicator | Brand: Brand_0,https://m.media-amazon.com/images/I/sample_5.jpg,1156.51
1006,"Title: Nescafe Classic Instant Coffee, 200g Jar | Description: Pure 100% coffee granules 200g glass container | Brand: Brand_1",https://m.media-amazon.com/images/I/sample_6.jpg,621.71
1007,Title: Samsung 55 Inch 4K Ultra HD Smart LED TV | Description: Crystal 4K processor ultra HD smart television with bluetooth | Brand: Brand_2,https://m.media-amazon.com/images/I/sample_7.jpg,42109.81
1008,"Title: Dettol Original Liquid Handwash Refill, 1.5 L | Description: Germ protection antibacterial refill pouch 1.5 litre | Brand: Brand_3",https://m.media-amazon.com/images/I/sample_8.jpg,192.68
1009,Title: Logitech G502 HERO High Performance Gaming Mouse | Description: Gaming mouse with 25K DPI sensor and 11 programmable buttons | Brand: Brand_4,https://m.media-amazon.com/images/I/sample_9.jpg,4096.49
1010,"Title: Cadbury Dairy Milk Silk Chocolate Bar, 150g (Pack of 3) | Description: Delicious smooth chocolate pack of 3 bars 150g each | Brand: Brand_0",https://m.media-amazon.com/images/I/sample_10.jpg,488.45
1011,Title: Apple iPhone 15 Pro Max 256GB Natural Titanium | Description: Flagship smartphone with A17 Pro chip and luxury titanium design | Brand: Brand_1,https://m.media-amazon.com/images/I/sample_11.jpg,138005.95
1012,Title: Boat Rockerz 450 Bluetooth Wireless On Ear Headphones | Description: Wireless headphones with 40mm dynamic drivers and 15 hour battery | Brand: Brand_2,https://m.media-amazon.com/images/I/sample_12.jpg,1168.83
1013,"Title: Ariel Matic Front Load Detergent Powder, 4 kg Pack | Description: Stain removal washing powder 4 kg heavy duty bag | Brand: Brand_3",https://m.media-amazon.com/images/I/sample_13.jpg,930.65
1014,Title: Wildcraft Genuine Leather Men Bifold Wallet | Description: Authentic premium leather wallet with 6 card slots | Brand: Brand_4,https://m.media-amazon.com/images/I/sample_14.jpg,791.0
1015,Title: Pampers Baby Dry Diapers Large Size (Pack of 64) | Description: Comfortable diapers set of 64 pcs count with wetness indicator | Brand: Brand_0,https://m.media-amazon.com/images/I/sample_15.jpg,1224.0
1016,"Title: Nescafe Classic Instant Coffee, 200g Jar | Description: Pure 100% coffee granules 200g glass container | Brand: Brand_1",https://m.media-amazon.com/images/I/sample_16.jpg,595.67
1017,Title: Samsung 55 Inch 4K Ultra HD Smart LED TV | Description: Crystal 4K processor ultra HD smart television with bluetooth | Brand: Brand_2,https://m.media-amazon.com/images/I/sample_17.jpg,46471.1
1018,"Title: Dettol Original Liquid Handwash Refill, 1.5 L | Description: Germ protection antibacterial refill pouch 1.5 litre | Brand: Brand_3",https://m.media-amazon.com/images/I/sample_18.jpg,244.05
